+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;733;02.1.2.01.010;;    Banco Rci Brasil S.a.;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;734;02.1.2.01.011;;    Finasa Bmc;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;735;02.1.2.01.012;;    Bco Finasa Ford Ka;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;736;02.1.2.01.013;;    Bco Itau Celta;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;737;02.1.2.01.014;;    Bco Finasda Uno Igv-1902;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;738;02.1.2.01.015;;    Bco Bb - Elebador;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;741;02.1.2.01.016;;    Fiat Automóveis S/a;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;746;02.1.2.01.017;;    Bv Financeira;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;758;02.1.2.01.018;;    Bb Ag. 486-3 C/c 28768-7;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;759;02.1.2.01.019;;    Cef Ag.1589 C/c 003/00001874-1;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;760;02.1.2.01.020;;    Banrisul Ag. 0215 C/c 06.063766.0-5;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;761;02.1.2.01.021;;    Itaú Ag 1438 C/c 23803-0;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;762;02.1.2.01.022;;    Itaú Ag 1438 C/c 24174-5;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;763;02.1.2.01.023;;    Santander Ag.1094 C/c 13-000745-4;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;764;02.1.2.01.024;;    Bradesco Ag.1775 C/c 44335-2;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;765;02.1.2.01.025;;    Coop Unicred Integ Ag.6001 C/c 906026;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;766;02.1.2.01.026;;    Lamdesbank Baden-wurttemberg;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;769;02.1.2.01.027;;    Ctr Cef N° 18.3461.606.0000005-39;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;770;02.1.2.01.028;;    Bco Bnds Finame;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;771;02.1.2.01.029;;    Bco Sicredi Pas;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;791;02.1.2.01.030;;    Aymoré Credito;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;838;02.1.2.01.031;;    Banco Sicoob;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;858;02.1.2.01.032;;    Coop Unicred;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;879;02.1.2.01.033;;    Banco Sicredi - Pronampe;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;881;02.1.2.01.034;;    Banco Sicredi;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;892;02.1.2.01.035;;    Badesul;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;893;02.1.2.01.036;;    Banco Do Brasil - Pronampe;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;894;02.1.2.01.037;;    Banco Sicredi - Bndes;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;901;02.1.2.01.038;;    Bb Giro Cont 325202744;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;919;02.1.2.01.039;;    Banco Moneo;BCOMONEO;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;940;02.1.2.01.040;;    Coop Unicred - Cap De Giro Longo Price;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;941;02.1.2.01.041;;    Coop Unicred - Reforma E Construção;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;943;02.1.2.01.042;;    Banco Do Brasil Pronampe;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;949;02.1.2.01.043;;    Nubank;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;969;02.1.2.01.044;;    Cdb Financiamento ;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;970;02.1.2.01.045;;    Capital De Giro N° 90549079 - Sicoob;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;971;02.1.2.01.046;;    Capital De Giro Nº 29092364 - Sicoob;;Passivo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
