+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;50;01.1.2.09.010;;    ICMS Bens Ativo a Recuperar;ICMSBENRECUP;Ativo;Balanço Patrimonial;;;;90132;Comum
;51;01.1.2.09.011;;    INSS a Recuperar;INSSRECUP;Ativo;Balanço Patrimonial;;;;90132;Comum
;650;01.1.2.09.012;;    CSRF a Compensar;CSRFrecup;Ativo;Balanço Patrimonial;;;;90132;Comum
;717;01.1.2.09.013;;    Simples a Recuperar;;Ativo;Balanço Patrimonial;;;;90132;Comum
;52;01.1.2.10;T;   EMPRÉSTIMOS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;53;01.1.2.10.001;;    Instituição financeira;;Ativo;Balanço Patrimonial;;;;90132;Comum
;620;01.1.2.10.002;;    Empréstimo Sócios;;Ativo;Balanço Patrimonial;;;;90132;Comum
;621;01.1.2.10.003;;    Xanddy Transportes Ltda;;Ativo;Balanço Patrimonial;;;;90132;Comum
;54;01.1.2.11;T;   ESTOQUES;;Ativo;Balanço Patrimonial;;;;90132;Comum
;55;01.1.2.11.001;;    Estoque de Mercadoria Para Revenda;ESTMERC;Ativo;Balanço Patrimonial;;;;90132;Comum
;56;01.1.2.11.002;;    Estoque de Matéria-Prima;ESTMP;Ativo;Balanço Patrimonial;;;;90132;Comum
;57;01.1.2.11.003;;    Estoque de Material de Consumo de Almoxarifado;ESTMCO;Ativo;Balanço Patrimonial;;;;90132;Comum
;58;01.1.2.11.004;;    Estoque de Produtos Em Elaboração;ESTELAB;Ativo;Balanço Patrimonial;;;;90132;Comum
;59;01.1.2.11.005;;    Estoque de Produtos Acabados;ESTACAB;Ativo;Balanço Patrimonial;;;;90132;Comum
;652;01.1.2.11.006;;    Bens Recebidos para Conserto;;Ativo;Balanço Patrimonial;;;;90132;Comum
;60;01.1.2.12;T;   DEDUÇÕES DOS DIREITOS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;61;01.1.2.12.001;;    Duplicatas descontadas;DPLDESC;Ativo;Balanço Patrimonial;;;;90132;Comum
;62;01.1.2.12.002;;    Provisão P/ Créditos de Liquidação Duvidosa;PROVCRED;Ativo;Balanço Patrimonial;;;;90132;Comum
;63;01.1.2.12.003;;    Provisão P/Ajuste Aplicação Em Ouro;PROVOURO;Ativo;Balanço Patrimonial;;;;90132;Comum
;64;01.1.2.13;T;   REMESSA DE PRODUTOS/MERCADORIAS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;65;01.1.2.13.001;;    Remessa de Produtos/Mercadorias;REMMERPRO;Ativo;Balanço Patrimonial;;;;90132;Comum
;651;01.1.2.13.002;;    Remessa para Industrialização;;Ativo;Balanço Patrimonial;;;;90132;Comum
;66;01.1.2.14;T;   RETORNO DE PRODUTOS/MERCADORIAS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;67;01.1.2.14.001;;    Retorno de Produtos/Mercadorias;RETMERPRO;Ativo;Balanço Patrimonial;;;;90132;Comum
;68;01.1.3;T;  DESPESAS DO EXERCÍCIO SEGUINTE;;Ativo;Balanço Patrimonial;;;;90132;Comum
;69;01.1.3.01;T;   SEGUROS A APROPRIAR;;Ativo;Balanço Patrimonial;;;;90132;Comum
;70;01.1.3.01.001;;    Seguros Contra Incêndios a Apropriar;INCENDIO;Ativo;Balanço Patrimonial;;;;90132;Comum
;71;01.1.3.01.002;;    Seguros Contra Roubo a Apropriar;ROUBO;Ativo;Balanço Patrimonial;;;;90132;Comum
;72;01.1.3.01.003;;    Seguros Contra Lucros Cessantes;LUCROSCESS;Ativo;Balanço Patrimonial;;;;90132;Comum
;653;01.1.3.01.004;;    Prêmio de Seguro a apropriar;;Ativo;Balanço Patrimonial;;;;90132;Comum
;654;01.1.3.01.005;;    Seguro Inadinplência;;Ativo;Balanço Patrimonial;;;;90132;Comum
;655;01.1.3.01.006;;    Juros a apropriar;;Ativo;Balanço Patrimonial;;;;90132;Comum
;730;01.1.3.01.007;;    Seguro de Vida;;Ativo;Balanço Patrimonial;;;;90132;Comum
;73;01.1.3.02;T;   ASSINATURAS DE PERIÓDICOS A APROPRIAR;;Ativo;Balanço Patrimonial;;;;90132;Comum
